1. MGI accession id	3. marker symbol	6. Entrez gene id
MGI:88257	Camk2b	12323
MGI:88258	Camk4	12326
MGI:88259	Camk2g	12325
MGI:88261	Canx	12330
MGI:88262	Cap1	12331
MGI:88263	Capn1	12333
MGI:88264	Capn2	12334
MGI:88266	Capns1	12336
MGI:88268	Car1	12346
MGI:88269	Car2	12349
MGI:88270	Car3	12350
MGI:88271	Cat	12359
MGI:88274	Ctnna1	12385
MGI:88275	Ctnna2	12386
MGI:88276	Ctnnb1	12387
MGI:88278	Serpina6	12401
MGI:88279	Cbl	12402
MGI:88281	Cbln1	12404
MGI:88282	Cbln2	12405
MGI:88283	Serpinh1	12406
MGI:88284	Cbr1	12408
MGI:88285	Cbs	12411
MGI:88289	Cbx2	12416
MGI:88293	Cacna1d	12289
MGI:88294	Cacna1s	12292
MGI:88295	Cacna2d1	12293
MGI:88296	Cacna1b	12287
MGI:88297	Cck	12424
MGI:88302	Ccnb1	268697
MGI:88311	Ccnb2	12442
MGI:88313	Ccnd1	12443
MGI:88314	Ccnd2	12444
MGI:88315	Ccnd3	12445
MGI:88316	Ccne1	12447
MGI:88318	Cd14	12475
MGI:88319	Cd19	12478
MGI:88320	Cd2	12481
MGI:88321	Ms4a1	12482
MGI:88322	Cd22	12483
MGI:88323	Cd24a	12484
MGI:88326	Cd27	21940
MGI:88327	Cd28	12487
MGI:88328	Tnfsf8	21949
MGI:88329	Cd34	12490
MGI:88330	Cd37	12493
MGI:88331	Cd3d	12500
MGI:88332	Cd3e	12501
MGI:88333	Cd3g	12502
MGI:88334	Cd247	12503
MGI:88335	Cd4	12504
MGI:88336	Cd40	21939
MGI:88337	Cd40lg	21947
MGI:88338	Cd44	12505
MGI:88339	Cd48	12506
MGI:88340	Cd5	12507
MGI:88341	Cd53	12508
MGI:88342	Cd68	12514
MGI:88343	Cd69	12515
MGI:88344	Cd7	12516
MGI:88345	Cd72	12517
MGI:88346	Cd8a	12525
MGI:88347	Cd8b1	12526
MGI:88348	Cd9	12527
MGI:88350	Cdc25c	12532
MGI:88351	Cdk1	12534
MGI:88353	Cdk11b	12537
MGI:88354	Cdh1	12550
MGI:88355	Cdh2	12558
MGI:88356	Cdh3	12560
MGI:88357	Cdk4	12567
MGI:88359	Cdr1	631990
MGI:88360	Cdx1	12590
MGI:88361	Cdx2	12591
MGI:88362	Cdx4	12592
MGI:88373	Cebpb	12608
MGI:88374	Cel	12613
MGI:88375	Cenpa	12615
MGI:88376	Cenpb	12616
MGI:88378	Ces1g	12623
MGI:88379	F13b	14060
MGI:88380	F2	14061
MGI:88381	F3	14066
MGI:88382	F5	14067
MGI:88383	F8	14069
MGI:88384	F9	14071
MGI:88385	Cfh	12628
MGI:88388	Cftr	12638
MGI:88390	Cga	12640
MGI:88392	Chat	12647
MGI:88393	Chd1	12648
MGI:88394	Chga	12652
MGI:88395	Chgb	12653
MGI:88396	Chrm1	12669
MGI:88397	Chrm2	243764
MGI:88398	Chrm3	12671
MGI:88399	Chrm4	12672
MGI:88401	Vsx2	12677
MGI:88404	Ckb-ps2	12706
MGI:88406	Ck-ps3	12708
MGI:88407	Ckb	12709
MGI:88413	Ckm	12715
MGI:88417	Clcn1	12723
MGI:88421	Clps	109791
MGI:88423	Clu	12759
MGI:88426	Cma2	545055
MGI:88431	Cnbp	12785
MGI:88436	Cnga1	12788
MGI:88437	Cnp	12799
MGI:88439	Cntf	12803
MGI:88445	Col10a1	12813
MGI:88446	Col11a1	12814
MGI:88447	Col11a2	12815
MGI:88448	Col12a1	12816
MGI:88449	Col15a1	12819
MGI:88450	Col17a1	12821
MGI:88451	Col18a1	12822
MGI:88452	Col2a1	12824
MGI:88453	Col3a1	12825
MGI:88454	Col4a1	12826
MGI:88455	Col4a2	12827
MGI:88456	Col4a5	12830
MGI:88457	Col5a1	12831
MGI:88458	Col5a2	12832
MGI:88459	Col6a1	12833
MGI:88460	Col6a2	12834
MGI:88461	Col6a3	12835
MGI:88462	Col7a1	12836
MGI:88463	Col8a1	12837
MGI:88464	Col8a2	329941
MGI:88465	Col9a1	12839
MGI:88466	Col9a2	12840
MGI:88467	Col1a1	12842
MGI:88468	Col1a2	12843
MGI:88469	Comp	12845
MGI:88470	Comt	12846
MGI:88473	Cox4i1	12857
MGI:88474	Cox5a	12858
MGI:88475	Cox5b	12859
MGI:88476	Cp	12870
MGI:88478	Cpa1	109697
MGI:88479	Cpa3	12873
MGI:88487	Cpz	242939
MGI:88489	Cr2	12902
MGI:88490	Crabp1	12903
MGI:88491	Crabp2	12904
MGI:88492	Masp1	17174
MGI:88494	Creb1	12912
MGI:88495	Crem	12916
MGI:88496	Crh	12918
MGI:88497	Crhbp	12919
MGI:88498	Crhr1	12921
MGI:88501	Crip1	12925
MGI:88508	Crk	12928
MGI:88512	Crp	12944
MGI:88513	Cr1l	12946
MGI:88514	Crry-ps	101056221
MGI:88515	Cryaa	12954
MGI:88516	Cryab	12955
MGI:88518	Cryba1	12957
MGI:88519	Crybb2	12961
MGI:88521	Cryga	12964
MGI:88522	Crygb	12965
MGI:88523	Crygc	12966
MGI:88524	Crygd	12967
MGI:88525	Cryge	12968
MGI:88526	Crygf	12969
MGI:88527	Cryz	12972
